[Processes]
324,
mspaint.exe,21316
SnippingTool.exe,23228
chrome.exe,24076
chrome.exe,12388
chrome.exe,13752
chrome.exe,26420
chrome.exe,5360
chrome.exe,4828
chrome.exe,21788
chrome.exe,25612
chrome.exe,15204
chrome.exe,26224
chrome.exe,7432
chrome.exe,19188
chrome.exe,26460
chrome.exe,26468
chrome.exe,19568
SystemSettings.exe,6972
UserOOBEBroker.exe,8372
RuntimeBroker.exe,17424
SciTE.exe,17400
AutoIt3Help.exe,22856
svchost.exe,27028
notepad++.exe,11868
explorer.exe,15712
ShellExperienceHost.exe,21536
StartMenuExperienceHost.exe,15780
SearchApp.exe,26780
TextInputHost.exe,26856
RuntimeBroker.exe,16956
Telegram.exe,20132
PowerToys.exe,27432
ColorPickerUI.exe,25308
PowerLauncher.exe,12480
AutoIt3.exe,28632
AutoIt3.exe,7844
AutoIt3.exe,7956
SearchProtocolHost.exe,11772
SearchFilterHost.exe,13148
RuntimeBroker.exe,13212
svchost.exe,27036
[SERVICES]
298,
AJRouter,STOPPED
ALG,STOPPED
AMD,RUNNING
AMD,RUNNING
AppIDSvc,STOPPED
Appinfo,RUNNING
AppMgmt,RUNNING
AppReadiness,STOPPED
AppVClient,STOPPED
AppXSvc,RUNNING
AssignedAccessManagerSvc,STOPPED
aswbIDSAgent,RUNNING
AudioEndpointBuilder,RUNNING
Audiosrv,RUNNING
AUEPLauncher,RUNNING
autotimesvc,STOPPED
avast,RUNNING
avast,RUNNING
AvastWscReporter,RUNNING
AxInstSV,STOPPED
BDESVC,STOPPED
BEService,STOPPED
BFE,RUNNING
BITS,STOPPED
BrokerInfrastructure,RUNNING
BTAGService,RUNNING
BthAvctpSvc,RUNNING
bthserv,RUNNING
camsvc,RUNNING
CDPSvc,RUNNING
CertPropSvc,STOPPED
ClipSVC,STOPPED
COMSysApp,STOPPED
CoreMessagingRegistrar,RUNNING
CorsairGamingAudioConfig,RUNNING
CorsairLLAService,RUNNING
CorsairService,RUNNING
Creative,STOPPED
CryptSvc,RUNNING
CscService,STOPPED
CTAudSvcService,RUNNING
DcomLaunch,RUNNING
